tag	EN	SP	RU	PT	DE	PL	CZ	TR	IT	FR
WARNING_SHARDS	"As the artifact is recomposed, no more Shards will drop and existing ones will disappear. <p><p>You can still complete certain quests related to recovering Shards; however no Shard will be gained from them."	El artefacto ha sido reconstruido, ya no podrás conseguir más Fragmentos y los que tengas desaparecerán.<p><p>Las misiones relacionadas con recuperar Fragmentos aun pueden completarse, aunque no obtendrás un Fragmento al acabarlas.	После воссоздания артефакта осколки перестанут выпадать, а имеющиеся - исчезнут. <p><p> Вы сможете закончить все задания связанные со сбором осколков, но больше ни один осколок при этом не будет найден.	Como o artefato foi restaurado, você não conseguirá mais Fragmentos e os que existiam desapareceram.<p><p>Você ainda pode concluir certas missões relacionadas a recuperar os Fragmentos, no entanto nenhum Fragmento será obtido nelas.	Da das Artefakt nun wieder zusammengesetzt ist, werden keine Scherben mehr zu finden sein und existierende werden verschwinden. <p><p>Du kannst zwar weiterhin damit verbundene Aufgaben abschließen, wirst aber keine Scherben dafür erhalten.	Jeśli artefakt zostanie rozłożony, nie będzie wypadać z niego więcej Okruchów, a już istniejące – znikną. <p><p>Wciąż możesz wykonać niektóre zadania związane z odzyskiwaniem Okruchów, ale nie zdobędziesz już żadnych.	"Teď, když byl artefakt složen, ždáné další Úlomky se neobjeví a existující zmizí. <p><p>Stále však můžeš splnit úkoly spojené se získáváním Úlomků; přestože žádné další Úlomky nebudou získány."	"Esere yeniden yapılandığında, daha fazla Shards düşmeyecek ve mevcut Shards yok olacak.<p><p> Shards'ın iyileştirilmesiyle ilgili belirli görevleri hala tamamlayabilirsiniz; Ancak onlardan hiçbir Shard kazanılmayacaktır."	"Appena l'artefatto si ricompone, nessun frammento cade e gli esistenti spariscono.<p><p> Puoi completare alcune quest relative ai frammenti; ma nessuna di queste te li darà più."	
DONATE_TEXT	Thanks for supporting the game!!! If you wish you can donate to make EK even [BLUE]larger and better[] and for supporting the development of more [BLUE]Old-School RPG games[].	¡Gracias por apoyar el juego! Si quieres colaborar más, usaremos los donativos para hacer EK [BLUE]mejor y más grande[], y seguir desarrollando nuevos [BLUE]RPGs de la 'vieja escuela'[].	Спасибо за поддержку игры!!! При желании вы можете совершить пожертвование чтобы сделать EK даже еще [BLUE]больше и лучше[], а также для поддержки разработки других [BLUE]олдскульных RPG игр[].	Obrigado por apoiar o jogo!!! Se você quiser, pode doar para fazer EK ainda [BLUE]maior e melhor[] e para ajudar o desenvolvimento de mais [BLUE]jogos de RPG à moda antiga[].	Vielen Dank, dass du das Spiel unterstützt!!! Wenn du möchtest, kannst du spenden, um EK noch [BLUE]größer und besser[] zu machen und die Entwicklung weiterer [BLUE]klassischer Rollenspiele[] zu unterstützen.	Dziękujemy za wsparcie! Jeśłi chcesz, możesz nas wspomóc finansowo, aby uczynić EK jeszcze [BLUE]większymi i lepszymi[] oraz by wspierać powstawanie [BLUE]oldschoolowych RPG[].	Díky za podporu hry!!! Jestli chceš, můžeš příspět aby se EK stalo [BLUE]větším a lepším[] a podporovat vývoj více takových [BLUE]Old-School RPG her[].	Oyunu desteklediğiniz için teşekkürler! İsterseniz EK'yi [BLUE]daha da büyük ve daha iyi hale getirmek için[]ve daha[BLUE]Old-School RPG oyunları[] geliştirmeyi desteklemek için bağışta bulunabilirsiniz.	Grazie per il tuo supporto al gioco!!! Se vuoi puoi donare per rendere EK più [BLUE]grande e migliore[] e per supportare lo sviluppo di altri [BLUE]RGP Vecchio stile[].	
DONATE_THANKS	We have received your donation, and it will be promptly transformed into more adventures. Thanks!!!	Hemos recibido tu donación, y la vamos a transformar en nuevas aventuras. ¡¡¡Gracias!!!	Мы получили ваше пожертвование, и скоро оно будет превращено в новые приключения. Спасибо!!!	Nós recebemos sua doação, e vamos transformá-las em novas aventuras. Obrigado!!!	Wir haben deine Spende erhalten und werden sie umgehend in neue Abenteuer umsetzen. Danke!!!	Otrzymaliśmy twoją wpłatę, i zamienimy ją na więcej przygód. Dzięki!	Obdrželi jsme tvůj příspěvek, v brzké době bude přetaven v další dobrodružství. Díky!!!	Bağışınızı aldık ve derhal daha maceralara dönüşeceğiz.Teşekkürler!!!	Abbiamo ricevuto la tua donazione, e sarà utilizzata per lo sviluppo di nuove avventure. Grazie!	
MSG_CANT_CHANGE_LANGUAGE	This setting can't be changed while playing the game. Please select this option from the main menu.	No se puede cambiar este ajuste mientras está jugando. Por favor use esta opción desde el menú principal.	Эта установка не может быть изменена в процессе игры. Измените этот параметр в главном меню.	Essa configuração não pode ser alterada enquanto joga. Por favor, selecione essa opção do menu principal.	Diese Einstellung kann nicht während des Spiels verändert werden. Bitte nimm die Auswahl im Hauptmenü vor.	Tego ustawienia nie można zmienić w trakcie gry. Wybierz tę opcję z menu głównego.	Tot nastavení nemůže být změněno v průběhu hry. Prosím, zvolte tuto možnost v hlavním menu.	Oyunu oynarken bu ayar değiştirilemez. Lütfen bu seçeneği ana menüden seçin.	Questo settaggio non può essere cambiato durante il gioco. Per piacerere scegli questa opzione dal menù principale.	
WARNING_LANG_CHANGED_SLEEP	If you reload a game saved in a different language, some names will not be translated until your character sleeps at the inn.	Si cargas una partida grabada en otro idioma, algunos nombres no se traducirán hasta que tu personaje duerma en la posada.	Если вы загрузите игру, сохраненную на другом языке, то некоторые имена не будут переведены,пока ваш персонаж не поспит в таверне.	Se você carregar um jogo salvo em uma língua diferente, alguns nomes podem não ser traduzidos até que seu personagem durma numa pousada.	Wenn du einen anderssprachigen Spielstand lädst, werden einige Namen erst nach einer Übernachtung im Gasthaus übersetzt.	Jeśli wczytasz grę w innym języku, niektóre nazwy pozostaną nieprzetłumaczone dopóki twoja postać nie prześpi się w karczmie.	Pokud načteš hru uloženou v jiném jazyce, některá slova nebudou přeložena do té doby, než tvá postava přespí v hospodě.	Farklı bir dilde kaydedilmiş bir oyunu yeniden yüklerseniz, karakteriniz hanede kalana kadar bazı isimler çevrilmeyecektir.	Se ricarichi una partita salvata in una lingua differente, alcuni nomi non verranno tradotti fino a quando non dormi in una taverna.	
WARNING_LANG_CHANGED_RESTART	The game will now close for the changes to take effect.	El juego se va a cerrar para que los cambios tengan efecto. 	Теперь игра будет закрыта, чтобы изменения вступили в силу.	O jogo será fechado para que as mudanças tenham efeito.	Das Spiel wird jetzt beendet, um die Änderungen anzuwenden.	Gra zostanie wyłączona, aby zastosować zmiany.	Tato hra se teď, kvůli aplikaci změň, zavře.	Değişikliklerin yürürlüğe girmesi için oyun şimdi kapanacak.	Il gioco verrà chiuso per rendere effettive le modifiche.	
WARNING_LANG_INCOMPLETE	This translation is still in progress, some texts might appear in english. Do you still want to change language?	Esta traducción aun está en proceso, parte de los textos se mostrarán en inglés. ¿Aun así quieres cambiar de idioma?	Этот перевод еще не завершен, некоторые тексты могут отображаться на английском языке. Вы все еще хотите изменить язык?	Essa tradução ainda está sendo feita. Parte dos textos podem aparecer em inglês. Você ainda quer mudar o idioma?	Diese Übersetzung ist noch nicht abgeschlossen. Einige Texte erscheinen möglicherweise in Englisch. Möchtest du trotzdem die Sprache wechseln?	Tłumaczenie w toku – niektóre teksty mogą być po angielsku. Czy nadal chcesz zmienić język?	Tento překlad je stále ve vývoji a některé texty se proto mohou objevit v angličtině. Trváte přesto na změně jazyka?	Bu çeviri halen devam etmektedir, bazı metinler ingilizce görünebilir.Hala dil değiştirmek istiyor musun?	Questa traduzione è in progresso, alcuni testi possono essere in inglese. Vuoi cambiare lingua?	La traduction n'est pas complète. Du texte peut encore apparaître en anglais. Êtes vous sur de vouloir changer la langue.
WARNING_CONTROLLER	No external controller has been detected.	No se detecta ningún mando externo.	Внешний контроллер не обнаружен.	Nenhum controle externo foi detectado.	Es wurde kein externer Controller gefunden.	Nie wykryto zewnętrznego kontrolera.	Nebyl zjištěn žádný vnější ovladač.	Harici denetleyici saptanmadı.	Nessun controller esterno è stato trovato.	Aucun contrôleur externe n'a été détecté
INFO_CONTROLLER	The game implements [BLUE]partial[] controller support. You will still need to use the touchscreen for some actions.	El juego implementa [BLUE]parcialmente[] mandos externos. Para algunas acciones seguirás necesitando usar la pantalla táctil.	В игре реализована [BLUE]частичная[] поддержка контроллера. Для некоторых действий вам все равно придется использовать сенсорный экран.	O jogo implementa [BLUE]parcialmente[] suporte a controles. Você ainda precisa usar a tela para algumas ações.	Das Spiel unterstützt Controller nur [BLUE]teilweise[]. Du wirst für einige Aktionen nach wie vor den Touchscreen benötigen.	Gra [BLUE]częściowo[] wspiera kontrolery zewnętrznee Dla wykonania niektórych akcji nadal będzie trzeba dotknąć ekranu dotykowego..	Hra [BLUE]částečně[] podporuje ovladač. Stale je však potřeba používat dotekový displej pro některé akce.	Oyun, [BLUE]kısmi denetleyici desteği uygular.Bazı işlemler için dokunmatik ekranı kullanmaya hala ihtiyacınız olacaktır.	Il gioco utilizza un [BLUE]parziale[] supporto con controllo. Devi utilizzare lo schermo per alcune azioni.	Les contrôleurs externes ne sont supportés que [BLUE]partiellement[]. Vous devez toucher l'écran pour certaines actions
TOL_CURSE_LOG	The curse of Tol is absorbing your life!	¡La maldición de Tol absorbe tu vida!	Проклятие Тола поглощает вашу жизнь!	A maldição de Tol absorve sua vida!	Der Fluch von Tol absorbiert dein Leben!	Klątwa Tola wysysa twoje życie!	Kletba Tola vysává tvůj život!	Tol'in laneti hayatını absorbe ediyor!	La maledizione di Tol sta assorbendo la tua vita.	La malédiction de Tol absorbe ta vie!
TOL_CURSE_MSG	The Crown holds ancient powers over life and death, and will drain your life until you become a spectre.<p><p> Dropping or storing it won't break the curse, your only hope is someone willingly accepting it from you.	La Corona tiene antiguos poderes sobre la vida y la muerte, y drenará tu vida hasta convertirte en un espectro.<p><p> Tirarla o guardarla no evitará el efecto, tu única salvación es que alguien acepte la Corona voluntariamente.	Корона имеет древние силы над жизнью и смертью и истощит ваши жизненные силы,пока не станете призраком.<p><p> Проклятие не разрушится если вы выбросите или спрячете корону, ваша единственная надежда заключена в том, что кто-то добровольно примет её от Вас.	A Coroa mantêm poderes antigos sobre a vida e morte, ela irá drenar sua vida até você se tornar um espectro.<p>p> Largar ou guardar ela não ira quebrar a maldição, sua única esperança é alguém aceitar voluntariamente ela de você.	Der Krone wohnen uralte Mächte über Leben und Tod inne und sie entzieht dir Leben, bis du schließlich ein Geist wirst.<p><p> Sie wegzuwerfen oder zu verstauen wird den Fluch nicht brechen. Deine einzige Hoffnung ist, dass sie dir jemand freiwillig abnimmt.	Korona dzierży starożytną moc nad życiem i śmiercią. Będzie wysysać z ciebie życie, aż staniesz się widmem.<p><p> Wyrzucenie jej lub przechowywanie nie zdejmie klątwy. Twoja jedyną nadzieją jest to, że ktoś ją od ciebie weźmie.	Koruna vládne starobylou mocí nad životem a smrtí, bude vysávat tvůj život, dokud se nestaneš duchem.<p><p> Zahození či její odložení nezlomí kletbu, tvou jedinou nadějí je, že ji někdo od tebe ochotně přijme.	Crown, yaşam ve ölüm üzerinde eski güçleri elinde tutar ve bir hayalet olana kadar hayatınızı boşaltacaktır.<p><p> Bırakmak veya saklamanız laneti bozmaz, tek umudunuz senden isteyerek kabul etmenizdir.	La Corona detiene poteri antichi sulla vita e sulla morte, e ti risucchia la tua vita fino a quando non sarai uno spetto.<p><p> Lasciarlo o stoccarlo non romperà la maledizione, la tua unica speranza è che qualcuno lo acceti volentieri da te.	La Couronne détient des pouvoirs au-delà de la vie et de la mort et aspirera votre vie jusqu'à ce que vous deveniez un spectre. <p><p> L'enlever, la poser ou la ranger ne brisera pas la malédiction. Votre seul espoir est quelqu'un accepte que vous lui cédiez la Couronne.
SKILL_POINT_GAINED	Skill Point Gained!	Punto de Habilidad Conseguido!	Получено очко навыка!	Ponto de Habilidade Ganho!	Fertigkeitspunkt erhalten!	Zdobyto Punkt Umiejętności!	Bod Vlastnosti Získán!	Beceri Puanı Kazanıldı!	Punto abilità guadagnato!	Vous avez gagné des points de compétence!
WARNING_CONTAINER	Warning: you have left some important item inside that container. Remember that when an area respawns, the item might disappear forever.	Advertencia: has dejado un objeto importante en ese contenedor. Si el area se resetea, podrías perder el objeto para siempre.	Предупреждение: вы оставили важный предмет внутри контейнера. Помните, что когда область обновится, предмет может исчезнуть навсегда.	Aviso: você deixou alguns itens importantes dentro desse container. Lembre-se quando uma area reseta, o item pode desaparecer para sempre.	Warnung: Du hast einen wichtigen Gegenstand zurückgelassen. Sobald das Gebiet zurückgesetzt wird, verschwindet der Gegenstand für immer.	Uwaga: ważny przedmiot został w tym pojemniku. Pamiętaj, że przy ponownym załadowaniu lokacji, przedmiot może zniknąć bezpowrotnie.	Varování: nechal jsi důležitý předmět uvnitř kontejneru. Pamatuj, že až se oblast znovu načte, může předmět navždy zmizet.	Uyarı: Bu kutunun içine önemli bir madde bıraktınız.Bir alan yeniden başladığında öğenin sonsuza dek kaybolabileceğini unutmayın.	ATTENZIONE: hai lasciato alcuni oggetti importanti dentro il contenitore. Ricordati che quando l'area si rigenerea, l'oggetto può scomparire per sempre.	Avertissement: vous avez laissé un objet important à l'intérieur de ce conteneur. Rappelez-vous que si vous quittez la zone, l'objet peut disparaître à jamais.
WARNING_DROPPED	An important quest item has been dropped to the ground because your inventory was full. You should pick it up.	Un objeto esencial para una misión está en el suelo porque no cabe en tu mochila. Deberías recogerlo.	Важный для задания предмет был брошен на землю, потому что ваш инвентарь полон. Вы должны его забрать.	Um item importante de missão foi largado no chão porque seu inventário está cheio. Você deveria pega-lo.	Ein wichtiger Gegenstand wurde weggeworfen, da dein Inventar voll ist. Du solltest ihn aufheben.	Upuszczasz ważny przedmiot ponieważ masz za mało miejsca w ekwipunku. Lepiej go podnieś.	Důležitý předmět k úkolu byl upuštěn na zem, jelikož je tvůj inventář plný. Měl bys ho sebrat.	Envanteriniz dolduğundan önemli bir görev var. Onu almalısın.	Un oggetto importante di una missione è stato lasciato per terra perchè il tuo inventario è pieno. Dovresti prenderlo.	Un objet important, lié à une quête, a été abandonné au sol car votre inventaire est plein. Vous devriez le reprendre.
WARNING_START_LANG_INCOMPLETE	Reminder: This translation is still in progress, some texts might appear in english.	Advertencia: Esta traducción aun está en proceso, parte de los textos se mostrarán en inglés.	Напоминание: Этот перевод еще не завершен, некоторые тексты могут отображаться на английском языке.	Lembrete: Essa tradução ainda está sendo feita, parte dos textos podem aparecer em inglês.	Hinweis: Diese Übersetzung ist noch nicht abgeschlossen. Einige Texte erscheinen möglicherweise in Englisch.	Uwaga: Tłumaczenie w toku – niektóre teksty mogą być po angielsku.	Připomínka: Tento překlad je stále ve vývoji a některé texty se proto mohou objevit v angličtině.	UYARI: Bu çeviri halen devam etmektedir, bazı metinler ingilizce görünebilir.	Attenzione: Questa traduzione è incompleta, anche molti testi sono in inglese.	
DESC_ITEM_EMP	[BLUE]{r}% chance[] to spend an [BLUE]Ancient Battery[] and deal massive shock damage (plus paralyze robots)	[BLUE]{r}%de  prob.[] de usar una [BLUE]Antigua Batería[]y soltar una descarga masiva (además de paralizar robots)	[BLUE]{r}% шанс[] потратить [BLUE]Древнюю Батарею[] и нанести тяжёлый урон разрядом (плюс парализовать роботов)	[BLUE]{r}% chance[] de gastar uma [BLUE]Bateria Antiga[] e causar dano de choque massivo (e ainda paralizar robôs)	[BLUE]{r}%[] Chance eine [BLUE]Alte Batterie[] einzusetzen und massiven Schockschaden zu verursachen (sowie Roboter zu lähmen).	[BLUE]{r}% szansa[] na aktywowanie [BLUE]Starożytnej Baterii[] i zadanie ogromnych ilości obrażeń (dodatkowo paraliżuje roboty)	[BLUE]{r}% šance[] na spotřebování [BLUE]Starobylé Baterie[] a uštědření masivního elektrického poškození (plus paralyzování robotů)	[BLUE]{r}% chance[]harcamak ve büyük şok hasarı (artı felç robotları) işlemek için şansı[]	[BLUE]{r}% probabilità[] di spendere una [BLUE]batteria antica[] e causare danni da shock massicci (anche di paralizzare robot)	
DESC_ITEM_ANTIRAD	Will partially protect you from the strange glowing particles floating in the Ashen Wastes.	Te protegerá parcialmente de las partículas brillantes que deambulan por los Páramos de Ceniza.	Частично защитит вас от странных светящихся сгустков, блуждающих по Пепельным Пустошам	Irá te proteger parcialmente das estranhas partículas brilhantes que flutuam nas Terras Cinzentas.	Schützt dich teilweise vor den seltsamen glühenden Partikeln im Aschgrauen Ödland.	Częściowo chroni przed unoszącymi się dziwnymi świecącymi cząsteczkami na Pustkowiach Popiołu.	Částečně tě chrání před podivnými zářícími částicemi, jež poletují po Popelečných Pláních.	Ashen Atıklarında yüzen garip parlayan parçacıklardan sizi kısmen koruyacaktır.	Vi proteggerà parzialmente dalle strane particelle incandescenti che fluttuano nei rifiuti di Ashen.	
MSG_LETTER_ARK_TITLE	A magical letter materializes in your hand!	¡Una carta mágica se materializa en tu mano!	Волшебное письмо возникает в Вашей руке!	Uma carta mágica se materializa em suas mãos!	Ein magischer Brief materialisiert in deiner Hand!	Magiczny list materializuje się w twoich rękach!	Kouzelný dopis se zhmotňuje v tvé ruce!	Sihirli bir mektup elinizde gerçekleşir!	Una carta magica si materializza nella tua mano!	
MSG_LETTER_ARK	"It is very similar to the inheritance letter you received long ago; there's no doubt this letter comes from Tremadan's Tower as well.<p><p>The message is brief:  'Come to the Tower, I found the location of the Ark of Lothasan!'. As soon as you've read it, the note dissolves."	Es similar a la carta de herencia que recibiste, hace ya tanto tiempo. No hay duda de que procede de la Torre de Tremadan.<p><p> El contenido es breve: 'Ven a la Torre, he encontrado la ubicación del Arca de Lothasan!'. Tras leerla, la carta se disuelve.	"Оно очень похоже на письмо о наследстве, полученное давным-давно; без сомнений, и это письмо тоже из Башни Тремадана.<p><p>Сообщение короткое: Отправляйся в Башню, я нашёл, где находится Ковчег Лотасана! Сразу после прочтения записка растворяется."	"É bem parecida com a carta da herança que recebeu há tempos; Não há dúvida que essa carta veio da Torre de Tremadan.<p><p>A mensagem é curta: 'Venha a Torre, encontrei a localização da Arca de Lothasan!'. Assim que termina de ler, a carta se dissolve."	Er ähnelt dem Erbschaftsbrief, den du vor langer Zeit erhalten hattest. Es besteht kein Zweifel, dass er ebenfalls aus Tremadans Turm stammt.<p><p>Die Nachricht ist kurz: Komm schnell zum Turm, ich habe den Standort der Arche von Lothasan gefunden! Sobald du das gelesen hast, löst sich die Mitteilung auf.	"Jest bardzo podobny do odziedziczonego listu który otrzymałem dawno temu; nie ma wątpliwości że list pochodzi z także Wieży Tremandana.<p><p>Wiadomość jest jasna: ""Przyjdź do Wieży, znam lokację Arki Lothasana!"". W momencie kiedy doczytałeś do końca list zniknął."	Je velmi podobný tomu o dědictví, jenž jsi předtím obdržel. Není pochyb, že také pochází z Tremadanovy věže.<p><p>Zpráva je stručná: Přijď do věže, odhalil jsem umístění Lothasanovy Archy!. Jakmile si dopis dočetl, rozptýlil se a nezbylo po něm památky.	"uzun zaman önce aldığınız miras mektubuna çok benzer; Bu mektubun, Tremadan Kulesi'nden de geldiği şüphesiz. <p> <p> Mesaj kısaca: 'Kule'ye gel, Lothasan'ın Gemisini buldum!'. Okuduğunuz anda not çözülür."	"E' molto simile alla lettera che hai ricevuto molto tempo fa; non c' è dubbio che provenga anche dalla torre di Tremadan.<p><p>Il messaggio è breve:' Venite alla Torre, ho trovato la posizione dell' Arca di Lothasan! Appnena l'hai letto, la nota si dissolve."	
ENDING_1	"Only a few days later, you realize your quest failed and humanity is doomed. One town is destroyed after another, and finally there is nowhere to run; you lose your life in a valiant last stand against the Horrors."	"Pocos días después comprendes que tu misión ha fallado; la humanidad está condenada. Ciudad tras ciudad, la destrucción es total; finalmente pierdes la vida en una última batalla con los Horrores."	"Только спустя несколько дней ты осознаешь, что твоя миссия провалена и человечество обречено. Города рушатся один за другим, и вот отступать уже некуда; ты отдаёшь свою жизнь в героическом последнем бою против Ужасов."	"Apenas alguns dias depois, você percebe que sua jornada falhou e a humanidade está condenada. Uma cidade é destruída após a outra, e finalmente não há para onde correr; você perde sua vida em uma última e corajosa batalha contra os Horrores."	Wenige Tage später wird dir klar, dass deine Mission gescheitert und die Menschheit verloren ist. Eine Stadt nach der anderen wird zerstört und schließlich gibt es keinen Ausweg mehr. Du verlierst dein Leben in einer letzten, heroischen Schlacht gegen die Schrecken.	"Klika dni później, zdajesz sobie sprawę że twoje zadanie nie powiodło się i ludzkość jest stracona. Jedno po drugim mieście jest niszczone, aż wkońcu nie ma gdzie uciekać; tracisz swoje życie w ostatnim śmiałym starciu z Horrorami."	Pouhých pár dní na to zjišťuješ, že jsi selhal ve svém poslání a lidství je odsouzeno k záhubě. Města padají, jedno za druhým, a již nením kam utéct. Přicházíš o život při zoufalé obraně posledního útočiště před Přízraky.	"Sadece birkaç gün sonra, görevinizin başarısız olduğunu ve insanlığın mahkum olduğunu anlıyorsunuz. Bir kasaba birbiri ardına yok edildi ve sonunda kaçacak bir yer yok; Hayatınızı Korkulara karşı yepyeni bir duruşla kaybedersiniz."	"Solo pochi giorni dopo, ti rendi conto che la tua ricerca è fallita e l' umanità è condannata. Una città viene distrutta dopo l' altra, e alla fine non c' è nessun posto dove nascondersi; perdi la vita in un valoroso ultimo attacco contro gli orrori."	
ENDING_2	"You travel through the Deep Gate, after the promise of eternal life and endless adventures in a new world; but that is a story yet to be told. Maybe one day the nightmares of a dying world consumed by the Horrors will go away..."	"Viajas a través de la Puerta, tras el sueño de la inmortalidad y aventura sin fin en un nuevo y extraño mundo; esa historia aun no ha sido escrita. Y quizá un día dejes de tener pesadillas de un mundo consumido por los Horrores."	"Ты проходишь через Глубинные Врата за обещанной вечной жизнью и бесконечными приключениями; но эту историю ещё только предстоит рассказать. Может, однажды кошмары об умирающем мире, поглощаемом Ужасами, перестанут преследовать тебя..."	"Você viaja através do Portal Profundo, atrás da promessa de uma vida eterna e infinitas aventuras em um novo mundo; mas essa é uma história que ainda será contada. Talvez um dia os pesadelos de um mundo sendo consumido pelos Horrores irão parar..."	Du reist durch das Tiefe Tor unter der Verheißung auf ewiges Leben und endlose Abenteuer in einer neuen Welt. Aber dies ist eine andere Geschichte. Vielleicht werden die Albträume einer von den Schrecken ausgelöschten Welt eines Tages verschwinden...	"Przechodzisz przez Głębokie Wrota, po przysiędze wiecznego życia i nieskończonej przygody w nowym świecie; ale ta historia jest do opowiedzenia. Może pewnego dnia koszmary umierającego świata pożeranego przez Horrorów zniknie..."	"Po příslibu nekonečného života a dobrodružství v novém světě jsi prošel Hlubinnou Branou; to jest však příběh, jenž se musí odehrát. Snad se jednoho dne vytratí noční můry o umírajícím světě požíraným Přízraky..."	"Yeni bir dünyada sonsuz yaşam ve sonsuz macera vaadinden sonra Derin Kapıdan geçiyorsunuz; ama bu henüz söylenecek bir hikaye. Belki de bir gün Korkuların tükettiği ölmekte olan bir dünyanın kabusları ..."	"Viaggi attraverso la Porta Profonda, dopo la promessa di vita eterna e infinite avventure in un mondo nuovo; ma questa è una storia ancora da raccontare. Forse un giorno gli incubi di un mondo morente consumato dagli orrori scompariranno...."	
ENDING_3	You run out of the Ark in time to see the Escape Pod taking off at incredible speed. An explosion brighter than the sun marks the destruction of the Deep Gate, and your victory. Congratulations, you saved the world!	Sales corriendo del Arca a tiempo de ver la cápsula volando hacia las estrellas. La explosión brilla más que el sol, y comprendes que la Puerta ha sido destruida. ¡Felicitaciones, has salvado al mundo!	Ты выбегаешь из Ковчега как раз, чтобы увидеть, как Спасательный Блок вылетает с непостижимой скоростью. Взрыв ярче, чем солнце, знаменует крушение Глубинных Врат и твою победу. Поздравляем, мир спасён!	Você corre para fora da Arca a tempo de ver a Cápsula de Fuga decolando a uma velocidade incrível. Uma explosão mais brilhante que o sol deixa claro que o Portão Profundo foi destruído, e que você conquistou a vitória. Parabéns, você salvou o mundo!	Du entkommst der Arche gerade noch rechtzeitig, um zu sehen, wie die Fluchtkapsel mit unglaublicher Geschwindigkeit davonfliegt. Eine Explosion heller als die Sonne besiegelt die Zerstörung des Tiefen Tors, und somit deinen Sieg. Glückwunsch, du hast die Welt gerettet!	Uciekasz z Arki w czas aby zobaczyć kapsułę ewakułacyjną przybierającą ogromne prędkości. Eksplozja jaśniejsza od słońca wyznacza destrukcję Głeboki	Vyběhl jsi Archy právě včas, abys uzřel Únikový Modul odlétající neuvěřitelnou rychlostí. Exploze jasnější než slunce znamená zničení Hlubinné Brány a tvé vítězství. Gratulace, zachránil jsi svět!	Kaçış Pod'unu inanılmaz bir hızla kalktığını görmek için zamanla Ark'dan kaçtın. Güneş'ten daha parlak bir patlama, Derin Kapının yıkımını ve zaferini işaret ediyor. Tebrikler, dünyayı kurtardın!	Corri fuori dall' Arca in tempo per vedere il capsula decollare a velocità incredibile. Un' esplosione più luminosa del sole segna la distruzione della Porta profonda, e la tua vittoria. Congratulazioni, hai salvato il mondo!	
WIKI_CONFIRM	This option will take you to the [BLUE]Exiled Kingdoms Wiki[], a fan site (english only) with exhaustive information, walkthroughs and spoilers. Do you want to visit it?	Esta opción te llevará al [BLUE]Wiki de Exiled Kingdoms[], un sitio web en inglés mantenido por fans, con información detallada del juego. ¿Quieres visitarlo?	Отсюда ты попадёшь в [BLUE]Exiled Kingdoms Wiki[], фан-сайт (целиком на английском) с исчерпывающей информацией, прохождениями и спойлерами. Хочешь посетить?	Essa opção te levará até o [BLUE]Exiled Kingdoms Wiki[], um site feito por fãs (apenas em inglês) com muitas informações, guias e também revelações da história do jogo. Você quer visitá-lo?	Diese Option öffnet die [BLUE]Exiled Kingdoms Wiki[], eine Fan-Seite (nur in englisch) mit umfassenden Informationen, Komplettlösungen und Spoilern. Möchtest du sie besuchen?	Ta opcja przekieruje cię do [BLUE]Exiled Kingdoms Wiki[], strony fanów (tylko po angielsku) z dokładnymi informacjami, przewodniki i spoilery. Czy chcesz ją odwiedzić?	Tato možnost vám umožní navštívit [BLUE]Exiled Kingdoms Wiki[], fandovskou stránku (v Angličtině) obsahující vyčerpávající informace, návody a zápletky. Chcete ji navštívit?	Bu seçenek sizi [BLUE] Exiled Kingdoms Wiki [] 'ye, ayrıntılı bilgileri, örneklerini ve spoiler'ları olan bir fan sitesi (yalnızca ingilizce) alacaktır. Ziyaret etmek ister misin?	Questa opzione ti collega al [BLUE]Wiki di Exiled Kingdoms[], un fan-site (solo in inglese) con informazioni esaustive, soluzioni e spoiler. Vuoi proseguire?	
MAGE_DESCRIPTION2	Those that devote their lives to the Arcane Arts. Vulnerable, but eventually very powerful.[BLUE] (Learn more)[]	Aquellos que dedican su vida a  las Artes Arcanas. Vulnerables, pero con el tiempo muy poderosos.[BLUE] (Leer más)[]	Те, кто посвятил жизнь Мистическим Искусствам. Уязвимые, но в конечном счете очень могущественные. [BLUE] (Узнать больше)[]	Aqueles que devotam suas vidas às Artes Arcanas. Vulneráveis mas, com o tempo, muito poderosos. [BLUE](Saiba mais)[]	Diejenigen, die ihr Leben den arkanen Künsten widmen. Verletzlich, aber potentiell sehr mächtig.[BLUE] (Mehr dazu)[]	Ci którzy poświęcają swoje życie sztukom tajemnym. Podatni na ataki, ale czasem bardzo potężni	Ti, kdož zasvětili své životy Arkánskému Umění. Zranitelní, přesto velmi mocní. [BLUE](Dovědět se více)[]		Coloro che dedicano la loro vita alle Arti Arcane. Vulnerabile, ma alla fine molto potente.[BLUE](Scopri di più)[]	
